,Time [s],Chan,Load [N],E [eu]
0,0.0635418,1.0,-356.25,45.8
1,5.128995,1.0,-365.625,13466.0
2,21.0154504,1.0,380.625,497.8
3,25.2313739,1.0,911.25,343.3
4,29.568049900000002,1.0,1443.75,135.8
5,29.906186699999996,1.0,1483.125,200.2
6,34.5931326,1.0,2036.25,837.8
7,34.9491659,1.0,2077.5,153.4
8,42.5572725,1.0,2936.25,215.1
9,44.2486686,1.0,3121.875,1008.8
10,45.86587539999999,1.0,3292.5,89.5
11,48.5295493,1.0,3575.625,353.1
12,49.2740149,1.0,3658.125,229.3
13,52.9761048,1.0,4040.625,345.3
14,54.3423502,1.0,4179.375,167.2
15,55.58904570000001,1.0,4305.0,62.2
16,56.1374215,1.0,4353.75,300.6
17,56.5152921,1.0,4395.0,48.0
18,57.338458100000004,1.0,4471.875,126.2
19,57.6062201,1.0,4501.875,182.5
20,58.1478782,1.0,4552.5,25.6
21,60.2096515,1.0,4753.125,456.5
22,60.95033170000001,1.0,4824.375,67.5
23,61.6638914,1.0,4890.0,104.1
24,62.174499600000004,1.0,4938.75,147.8
25,62.9026369,1.0,5010.0,95.7
26,63.9915851,1.0,5111.25,138.6
27,65.20762669999999,1.0,5221.875,657.9
28,65.3314443,1.0,5231.25,137.8
29,65.39411949999999,1.0,5238.75,903.7
30,65.92923950000001,1.0,5287.5,587.2
31,66.20962279999999,1.0,5311.875,300.6
32,66.6241225,1.0,5351.25,65.5
33,66.62716510000001,1.0,5351.25,369.9
34,67.17430689999999,1.0,5400.0,236815679.2
35,67.1767627,1.0,5400.0,56311.0
36,67.18005600000001,1.0,1185.0,173.8
37,67.18090759999998,1.0,1185.0,29083.0
38,67.18333539999999,1.0,1185.0,203.1
39,67.1876408,1.0,1185.0,101.6
40,67.1892048,1.0,1185.0,765.1
41,67.1895127,1.0,1185.0,530.8
