,Time [s],Chan,Load [N],E [eu]
0,13.219135500000002,2.0,3525.0,234.0
1,20.4121057,2.0,6384.375,51.3
2,21.2967361,2.0,6710.625,98.4
3,21.9109085,1.0,6978.75,118.9
4,24.149313600000003,2.0,7841.25,91.9
5,24.372175,1.0,7920.0,170.1
6,24.8910709,2.0,8130.0,219.8
7,25.2718645,1.0,8257.5,574.5
8,26.9666078,1.0,8913.75,71.6
9,28.401215500000003,2.0,9483.75,127.5
10,28.861363,1.0,9660.0,43.0
11,29.076972100000003,2.0,9714.375,442.3
12,29.0770122,1.0,9714.375,137.9
13,29.112455199999996,2.0,9748.125,63.4
14,29.1379647,1.0,9761.25,220.6
15,29.4810477,1.0,9843.75,97.3
16,29.620520399999997,2.0,9950.625,834.0
17,29.620550199999997,1.0,9950.625,300.6
18,30.2510319,1.0,10183.125,93.4
19,30.2595659,1.0,10183.125,1052.4
20,30.360972600000004,1.0,10213.125,344.8
21,30.574942800000002,2.0,10305.0,903.8
22,30.599133600000002,2.0,10308.75,407.4
23,31.0352159,2.0,10483.125,33.8
24,31.507499300000003,2.0,10638.75,182.1
25,31.5783749,1.0,10693.125,148.7
26,31.6840049,2.0,10726.875,321.9
27,31.6840299,1.0,10726.875,110.4
28,31.7033716,2.0,10738.125,136.9
29,32.0506389,2.0,10863.75,54.6
30,32.1096428,1.0,10888.125,259.9
31,32.3181548,2.0,10948.125,67.3
32,32.642185,2.0,11086.875,71.5
33,32.7527885,1.0,11120.625,44.0
34,33.2149054,1.0,11280.0,3917.0
35,33.2149343,2.0,11280.0,774.3
36,33.2203679,2.0,11311.875,115.0
37,33.316061399999995,2.0,11330.625,901.2
38,33.4239225,2.0,11385.0,70.5
39,33.815780499999995,2.0,11523.75,96.3
40,34.2823122,2.0,11685.0,138.3
41,34.8655896,2.0,11913.75,256.6
42,35.1608164,1.0,12020.625,51.2
43,35.3818389,2.0,12112.5,148.2
44,35.4222535,1.0,12127.5,106.2
45,35.5251099,1.0,12168.75,158.8
46,36.0631081,2.0,12361.875,179.0
47,36.3299434,2.0,12438.75,37.0
