"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;0;0;-0.4252
1.06365e-05;-5.72137e-06;-2.67959e-05;1;0.9619;-0.4252
7.52714e-05;3.87194e-06;2.29143e-05;2;1.9699;-0.3522
0.000443841;6.29231e-05;7.88178e-05;3;2.9319;-0.2062
0.00074789;8.89616e-05;9.58423e-05;4;3.9397;-0.1549
0.00105817;9.1083e-05;0.000160644;5;4.9477;0.064
0.00134404;0.000113792;0.000130753;6;5.9556;0.2277
0.00191723;9.72695e-05;0.000159003;7;7.9713;0.4487
0.00240255;9.47327e-05;0.000115578;8;9.9412;0.6874
0.00268243;0.000102432;0.000147365;9;10.9491;0.8846
0.00295886;9.50289e-05;0.000159716;10;11.957;0.9931
0.00322424;8.00048e-05;0.00014843;11;12.9649;1.072
0.00349302;6.59446e-05;0.000137584;12;13.9728;1.1569
0.00371423;8.42876e-05;0.000161597;13;14.9348;1.3048
0.00398071;5.17589e-05;0.000130838;14;15.9427;1.3975
0.00421521;5.44004e-05;0.000113238;15;16.9506;1.6342
0.00449411;4.77954e-05;0.000127947;16;17.9584;1.7388
0.00473882;4.21022e-05;0.000145218;17;18.9664;1.8335
0.00498596;5.038e-05;0.000108214;18;19.9741;1.9814
0.00520525;4.24632e-05;0.000125061;19;20.9363;2.009
0.0054904;3.59541e-05;0.000124344;20;21.9442;2.2655
0.00572937;3.10347e-05;0.000128218;21;22.952;2.3424
0.00596453;2.93759e-05;0.000120199;22;23.9598;2.4608
0.00622324;4.05681e-05;0.000103955;23;24.9678;2.4568
0.00646479;1.14087e-05;7.31557e-05;24;25.9756;2.6087
0.00672288;1.35707e-05;0.000105475;25;26.9377;2.6935
0.00694402;1.03399e-06;8.29813e-05;26;27.9456;2.9322
0.00719435;-6.11056e-06;8.85263e-05;27;28.9536;3.0032
0.00742829;-1.06561e-05;8.57176e-05;28;29.9614;3.094
0.00770362;-9.41095e-06;5.74063e-05;29;30.9692;3.2261
0.00790071;-4.03103e-05;7.44921e-05;30;31.9312;3.2814
0.00815449;-1.25805e-05;6.36947e-05;31;32.9392;3.3386
0.00839387;-1.9434e-05;4.71256e-05;32;33.947;3.5181
0.008648;-3.61679e-05;7.58613e-05;33;34.9549;3.6917
0.00890727;-4.07769e-05;5.43209e-05;34;35.9628;3.7449
0.00914975;-5.22979e-05;6.42202e-05;35;36.9707;3.8376
0.00934691;-5.82492e-05;5.65954e-05;36;37.9327;3.9836
0.00958889;-0.000120168;5.3822e-05;37;38.9406;4.0487
0.00985658;-5.73608e-05;6.30543e-05;38;39.9485;4.171
0.0100834;-6.51081e-05;1.28164e-05;39;40.9564;4.2401
0.0103187;-7.24247e-05;4.60713e-05;40;41.9642;4.3545
0.0105551;-8.11909e-05;1.00739e-05;41;42.9721;4.5438
0.0107869;-0.000114226;-6.50297e-06;42;43.9342;4.6267
0.0110415;-9.95082e-05;-2.44719e-05;43;44.942;4.5853
0.0112638;-0.000110106;1.35596e-05;44;45.9499;4.8042
0.0114858;-0.00010909;-5.8987e-06;45;46.9578;4.7963
0.0117634;-0.000136009;1.2291e-05;46;47.9657;4.8654
0.0119577;-0.000116488;-1.41592e-05;47;48.9736;4.9167
0.0122131;-0.000114444;-2.88547e-05;48;49.9356;5.0626
0.012405;-0.000164899;-1.91777e-05;49;50.9435;5.2224
0.0126695;-0.000154553;-1.06734e-05;50;51.9513;5.3861
0.0129051;-0.000121793;-3.30335e-05;51;52.9592;5.3822
0.0131407;-0.000160242;-3.90241e-05;52;53.9671;5.5361
0.0133379;-0.000166165;-3.2252e-05;53;54.9749;5.6682
0.013582;-0.000181542;-2.82738e-05;54;55.9372;5.7314
0.0138357;-0.000144562;-5.91563e-06;55;56.945;5.755
0.0140719;-0.000188122;-5.76843e-05;56;57.9528;5.9109
0.014259;-0.000194283;2.8461e-05;57;58.9607;5.9602
0.0145513;-0.000192949;-6.21643e-05;58;59.9686;6.0036
0.0147928;-0.000187501;-6.00297e-05;59;60.9764;6.1673
0.0149933;-0.000201067;-7.81802e-05;60;61.9385;6.1022
0.0152265;-0.000224997;-3.11821e-05;61;62.9463;6.2975
0.0154702;-0.000225659;-9.20114e-05;62;63.9542;6.3409
0.0157426;-0.000219557;-8.42946e-05;63;64.9622;6.552
0.0159643;-0.000224363;-0.000100336;64;65.9699;6.5934
0.00130564;0.000374102;-7.25134e-06;65;66.9321;-0.005
0.00117053;0.000432618;-2.97001e-05;66;67.9399;-0.0445
0.00111442;0.000408917;-2.82093e-06;67;68.9478;0.0048
0.00111149;0.000422607;7.40108e-06;68;69.9557;-0.0169
0.00104221;0.000457026;7.88454e-05;69;70.9636;-0.0504
0.00103386;0.000410119;2.4807e-05;70;71.9714;-0.0662
0.00102007;0.000414715;6.07498e-05;71;72.9335;0.0719
0.00101746;0.000475643;4.28753e-05;72;73.9414;-0.0386
0.000959003;0.000424587;-1.86549e-05;73;75.9571;0.0956
0.000984878;0.000403808;3.46336e-05;74;76.965;0.0739
0.000968471;0.00041879;3.4667e-05;75;77.9728;0.0226
;;;76;78.935;-0.0149
0.000941339;0.000418641;-1.59737e-05;77;79.9428;0.0778
0.000923944;0.000399877;6.18748e-05;78;80.9507;0.1212
0.000937984;0.000441281;-1.05519e-05;79;81.9585;0.1015
0.000929764;0.000436926;1.5675e-05;80;82.9665;-0.0386
0.000931094;0.000453697;2.79211e-05;81;83.0122;-0.0346
