"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;6;39.7196;-0.4449
1.73445e-05;5.34485e-06;2.90985e-05;7;40.7274;-0.4094
0.000147177;8.11888e-07;4.61166e-05;8;41.7351;-0.1589
0.000366856;-8.70916e-06;2.72883e-05;9;42.7427;0.1094
0.000551114;-3.0521e-05;3.72722e-05;10;43.751;0.6479
0.000704862;-5.6455e-05;5.62006e-05;11;44.7587;1.0089
0.000887246;-8.42153e-05;5.98069e-05;12;45.7208;1.433
0.00108328;-0.000115177;2.42605e-05;13;46.7286;1.8295
0.00123743;-0.000178841;1.48025e-05;14;47.7368;2.2635
0.00136606;-0.000184374;4.59681e-05;15;48.7446;2.6225
0.00153856;-0.000246694;3.19029e-05;16;49.7065;3.0506
0.00170964;-0.000266899;1.65333e-05;17;50.7144;3.4668
0.00188722;-0.00028643;6.459e-05;18;51.7221;3.8968
0.0020384;-0.000344306;7.05792e-05;19;52.7303;4.2026
0.00220201;-0.000372703;3.16942e-05;20;53.7382;4.6306
0.0023493;-0.000414539;4.524e-05;21;54.746;5.1909
0.00252051;-0.000462613;3.18167e-05;22;55.7079;5.4098
0.00267065;-0.000496153;7.38708e-05;23;56.7159;5.8872
0.0028242;-0.000500247;7.30306e-05;24;57.7237;6.2896
0.00300056;-0.000552955;9.17522e-05;25;58.7317;6.7907
0.00330317;-0.000653235;0.000116257;26;60.7475;7.4732
0.00373295;-0.000750972;4.92532e-05;27;63.7253;8.6094
0.00392152;-0.000763199;7.87353e-05;28;64.7329;8.9684
0.00407529;-0.000819057;0.000116724;29;65.7409;9.501
0.00420861;-0.000874141;5.5884e-05;30;66.7488;9.7062
0.00435856;-0.000922931;7.26854e-05;31;67.7108;10.1737
0.00449422;-0.000945548;7.63047e-05;32;68.7187;10.5426
0.00464509;-0.000976859;9.89493e-05;33;69.7266;11.0002
0.00480578;-0.00101282;0.000119665;34;70.7345;11.4007
0.0049395;-0.00107103;9.15261e-05;35;71.7421;11.7735
0.00509337;-0.00112235;0.000111875;36;72.7503;12.1345
0.00524928;-0.00112506;0.000100976;37;73.7121;12.5626
0.00538453;-0.00116318;0.000124257;38;74.7202;12.8367
0.00554416;-0.00121976;0.000118887;39;75.728;13.3161
0.00568258;-0.00127508;0.000141206;40;76.7358;13.6317
0.00584032;-0.00129542;0.000130981;41;77.7438;14.0223
0.00598654;-0.00135599;0.000117419;42;78.7059;14.4089
0.00624033;-0.00142128;0.000182464;43;80.7218;15.0816
0.00639218;-0.00148424;0.000166669;44;81.7296;15.5274
0.00656459;-0.00148622;0.000183439;45;82.7375;15.8075
0.00668532;-0.00153395;0.000155017;46;83.7452;16.2691
0.00682381;-0.00160943;0.000187549;47;84.7531;16.5828
0.00695809;-0.00159694;0.000157064;48;85.7152;16.9181
0.00709504;-0.00166972;0.000158725;49;86.723;17.3935
0.00723904;-0.00171069;0.000188903;50;87.7311;17.8038
0.00739781;-0.00178073;0.000188766;51;88.739;18.0228
0.00754785;-0.00177635;0.000191829;52;89.7468;18.441
0.00767167;-0.00184343;0.000159212;53;90.7089;18.7961
0.00780985;-0.00187379;0.000158586;54;91.7168;19.2281
0.00795868;-0.00190106;0.000184872;55;92.7245;19.5595
0.00809602;-0.00195606;0.00017753;56;93.7325;19.9007
0.00822401;-0.00198771;0.000174771;57;94.7403;20.3288
0.00837801;-0.00203024;0.000169451;58;95.7025;20.6562
0.0085518;-0.00209468;0.000190124;59;96.756;20.9877
0.00865202;-0.00211959;0.000168541;60;97.7181;21.3467
0.00877838;-0.00215189;0.000173259;61;98.7262;21.7451
0.00892659;-0.00219124;0.000206956;62;99.7338;22.0844
0.00921609;-0.002265;0.000179038;63;101.704;22.8478
0.00934239;-0.00229236;0.000219534;64;102.712;23.0925
0.00947557;-0.00235976;0.000204031;65;103.719;23.4712
0.00974978;-0.00246583;0.000182199;66;105.735;24.207
0.00987106;-0.00247845;0.000192315;67;106.743;24.6311
0.0100187;-0.00250435;0.000202311;68;107.705;24.9901
0.0101618;-0.00253706;0.00017135;69;108.713;25.3117
0.0104284;-0.00262356;0.000208512;70;110.729;26.006
0.0105626;-0.00270401;0.000192197;71;111.737;26.4381
0.0107028;-0.00273351;0.000195758;72;112.745;26.6629
0.0108268;-0.00275572;0.000200009;73;113.707;27.089
0.0109358;-0.00281253;0.000209312;74;114.715;27.4204
0.0110853;-0.00285405;0.000210926;75;115.722;27.8465
0.0112253;-0.00288926;0.000195028;76;116.73;28.17
0.0113478;-0.00291835;0.000237796;77;117.738;28.4541
0.0114817;-0.00297051;0.000236327;78;118.746;28.8841
0.011599;-0.00298209;0.00020316;79;119.708;29.0794
