Average;;;Analog;;;;;;
exx [1] - engr.;eyy [1] - engr.;exy [1] - engr.;Count;Time_0;Force;;E1;E2;v12
0;0;0;6;25.0137;-0.1352;;#DIVISION/0!;#DIVISION/0!;#DIVISION/0!
3.10E-05;0.000267176;5.37E-06;7;26.0216;-0.1194;;-3857.14978;-446.8964278;-8.630970264
-1.38E-05;3.32E-05;3.90E-06;8;27.0293;-0.0543;;3948.487867;-1637.643482;2.411079035
-0.000105283;-0.00162804;9.56E-05;9;27.9916;0.1114;;-1058.100548;-68.4258372;-15.46346514
6.77E-05;-0.00194436;9.91E-05;10;28.9994;0.4645;;6859.358779;-238.8960892;28.71272946
0.000253752;-0.0021508;0.000174937;11;30.0075;0.6913;;2724.313503;-321.4152873;8.475992307
0.000397445;-0.0022952;0.000106622;12;31.0152;0.9773;;2458.956585;-425.8016731;5.774887091
0.000593684;-0.00241223;0.000127517;13;32.0229;1.2851;;2164.619562;-532.7435609;4.06315481
0.000746326;-0.00250751;0.00014419;14;33.0309;1.5455;;2070.810879;-616.3484891;3.359805233
0.000908945;-0.00257546;0.000141467;15;33.9931;1.9064;;2097.376629;-740.2172816;2.83346077
0.00108598;-0.00265958;0.000133302;16;35.0011;2.1747;;2002.523067;-817.6854992;2.449013794
0.00124652;-0.00272227;0.000137876;17;36.0088;2.4825;;1991.54446;-911.9227703;2.183895966
0.00143294;-0.00278996;4.39E-05;18;37.0167;2.7685;;1932.041816;-992.3081334;1.947018019
0.00157389;-0.00284578;0.000110253;19;38.0247;3.1334;;1990.863402;-1101.068951;1.808118738
0.00175655;-0.00294581;0.000108671;20;38.9864;3.3583;;1911.872705;-1140.026003;1.677043067
0.00193225;-0.00297931;0.000109055;21;39.9944;3.6779;;1903.428645;-1234.480467;1.541886402
0.00208642;-0.00301061;0.00010952;22;41.0023;3.9087;;1873.40037;-1298.308316;1.442954918
0.00224319;-0.00310134;0.000118822;23;42.0102;4.2243;;1883.166384;-1362.088646;1.382557875
0.00242448;-0.00315884;0.000105036;24;43.0181;4.4551;;1837.54867;-1410.359499;1.302893816
0.00258794;-0.00319709;9.38E-05;25;44.0259;4.8062;;1857.152793;-1503.304568;1.235380264
0.00272383;-0.00327281;6.91E-05;26;45.0336;5.1139;;1877.466655;-1562.541058;1.201547086
0.00288954;-0.00332612;0.00010205;27;45.9957;5.3487;;1851.055877;-1608.089907;1.151089793
0.00304464;-0.00335522;7.64E-05;28;47.0036;5.6978;;1871.419938;-1698.189687;1.102008776
0.00323453;-0.00342481;8.45E-05;29;48.0119;5.9168;;1829.261129;-1727.628686;1.058827712
0.00339226;-0.00352125;8.01E-05;30;49.0196;6.1673;;1818.050503;-1751.451899;1.038024798
0.00354712;-0.00357439;6.54E-05;31;50.0274;6.5835;;1856.012765;-1841.852736;1.007687927
0.00371747;-0.00360872;5.15E-05;32;50.9895;6.8518;;1843.135251;-1898.678756;0.970746233
0.00384925;-0.00364102;8.77E-05;33;51.9974;7.0826;;1839.994804;-1945.22414;0.945903747
0.00404276;-0.00371155;6.05E-05;34;53.0054;7.3982;;1829.987434;-1993.291213;0.918073296
