"Average";;;"Analog";;
"exx [1] - engr.";"eyy [1] - engr.";"exy [1] - engr.";"Count";"Time_0";"Force"
0;0;0;4;19.6997;-0.0701
1.24324e-05;-4.50316e-06;2.11024e-06;5;20.6619;0.066
2.9509e-06;-3.32463e-05;3.74989e-05;6;21.6697;-0.1017
1.10247e-05;-7.65624e-05;1.36032e-05;7;22.6775;-0.1352
0.000145753;0.000239849;6.22433e-05;8;23.6853;0.2238
0.000319401;0.000444264;5.19275e-05;9;24.6933;0.5158
0.000521967;0.000438502;9.82356e-06;10;25.7011;0.8827
0.000695396;0.00047543;2.43418e-05;11;26.6634;1.3738
0.000870241;0.000385335;2.74586e-05;12;27.6714;1.8374
0.00102829;0.000287928;5.12093e-05;13;28.6792;2.0998
0.00123348;0.000248548;2.98007e-05;14;29.6868;2.4312
0.00137015;0.000226339;5.06375e-05;15;30.695;2.8
0.00159527;0.000188589;-6.04928e-07;16;31.7028;3.2084
0.00176088;0.000150364;1.79604e-05;17;32.6648;3.5792
0.00187624;9.42541e-05;-1.2287e-05;18;33.6725;3.9935
0.00208451;-5.06158e-06;2.52466e-05;19;34.6805;4.3209
0.00224553;-5.80616e-05;-3.53289e-06;20;35.6883;4.7056
0.00243082;-7.17738e-05;1.08553e-05;21;36.6962;5.2126
0.00259866;-0.000143981;1.93127e-05;22;37.7041;5.5006
0.00275463;-0.000193902;3.54448e-05;23;38.7119;5.8142
0.00293757;-0.000255536;3.96343e-05;24;39.6742;6.2699
0.00310242;-0.000275596;2.40368e-05;25;40.6821;6.6624
0.00327361;-0.000322546;4.87532e-05;26;41.69;6.9011
0.0034204;-0.000343724;1.16457e-05;27;42.6977;7.2759
0.00357526;-0.000422214;1.79908e-05;28;43.6598;7.6645
0.00375133;-0.000477612;-2.68872e-05;29;44.6677;8.0827
0.00392078;-0.000493268;2.7065e-05;30;45.6755;8.5068
0.00407415;-0.000552673;1.33587e-06;31;46.6834;8.7376
0.00441895;-0.000708537;-1.33397e-05;32;48.6993;9.6155
0.0047228;-0.000782054;-3.43513e-05;33;50.6692;10.1559
0.00488063;-0.000878744;-1.51837e-05;34;51.6771;10.5801
0.0050564;-0.000932201;-8.50275e-06;35;52.685;11.0772
0.00519523;-0.000954747;-3.98134e-05;36;53.6929;11.4165
0.00535752;-0.00102096;-1.02035e-05;37;54.7005;11.6532
0.0056566;-0.00110757;-1.99717e-05;38;56.6705;12.4975
0.00575796;-0.00118111;-2.61464e-05;39;57.6786;12.7657
0.00596106;-0.00120018;1.25632e-05;40;58.6861;13.2293
0.00642206;-0.00128589;-1.11317e-05;41;61.6641;14.2708
0.00661995;-0.001317;-0.000147983;42;62.6721;14.691
0.0067325;-0.00145179;3.89405e-06;43;63.6795;15.0126
0.00691792;-0.00141702;-5.88068e-06;44;64.6877;15.2808
0.0070888;-0.0014678;-2.78357e-05;45;65.6955;15.8036
0.00721133;-0.0014871;-1.85978e-05;46;66.7034;16.1212
0.00738623;-0.00156198;-2.09432e-05;47;67.7113;16.494
0.00746321;-0.00157594;-9.95858e-05;48;68.6734;16.8589
0.00768246;-0.0016643;-6.35713e-05;49;69.6813;17.2436
0.00782179;-0.00176435;-4.99835e-05;50;70.6892;17.4921
0.00796838;-0.00181613;-7.49534e-05;51;71.6971;17.9202
0.00810425;-0.00180913;-7.82328e-05;52;72.6591;18.22
0.00825848;-0.00183042;-2.62611e-05;53;73.667;18.4903
0.00839488;-0.00188911;-1.8368e-05;54;74.6749;18.9401
0.00854236;-0.00194922;-4.4325e-05;55;75.6828;19.2734
0.00869468;-0.00195194;-1.86002e-05;56;76.6907;19.6246
0.00883489;-0.00202468;-5.16338e-05;57;77.6985;19.9934
0.00894154;-0.00208808;-6.27732e-05;58;78.6606;20.4195
0.00910768;-0.00212684;-7.63978e-05;59;79.6683;20.7687
0.00922691;-0.00215636;-0.000131238;60;80.6761;20.9936
0.00940934;-0.00217559;-9.48518e-05;61;81.6842;21.467
0.00960316;-0.00223706;-8.05534e-05;62;82.692;21.7668
0.00970218;-0.00223238;-8.45876e-05;63;83.7;22.0568
0.00979209;-0.00233464;-5.86683e-05;64;84.7078;22.4809
0.00997558;-0.00236178;-9.16786e-05;65;85.6699;22.9445
0.0100686;-0.00251257;-1.82338e-05;66;86.6777;23.2187
0.0102467;-0.00247411;-9.86302e-05;67;87.6854;23.5619
0.0103909;-0.00249433;-5.74288e-05;68;88.6938;23.8381
0.0105298;-0.00251976;-0.000100918;69;89.7013;24.1932
0.0106631;-0.00255459;-0.000100788;70;90.6637;24.6351
0.0108465;-0.00259818;-0.000124302;71;91.6716;24.8777
0.0109527;-0.00263923;-0.000113394;72;92.6793;25.2071
0.0110496;-0.00271582;-0.000115123;73;93.6872;25.5819
;;;74;95.7028;-0.7842
;;;75;96.665;-0.151
;;;76;97.673;-0.2457
;;;77;98.6809;-0.151
;;;78;99.6886;-0.1885
;;;79;100.696;-0.226
;;;80;101.475;-0.2003
