,Time [s],Load [N],Displacement [mm]
0,0.0078125,339.14244997192964,0.19572258
1,0.012695313,340.8182729775136,0.19592643
2,0.017578125,344.97772047946324,0.19664168
3,0.022460938,328.5443618399576,0.19692421
4,0.02734375,337.8703119729889,0.19609809
5,0.032226563,338.68918508733276,0.19616961
6,0.037109375,338.47351306305677,0.19717455
7,0.041992188,336.8909514715384,0.19640565
8,0.046875,336.5596212374408,0.19696355
9,0.051757813,337.01916701093677,0.19567609
10,0.056640625,346.4758459285704,0.19567966
11,0.061523438,339.9640720872224,0.19596577
12,0.06640625,343.6372355556384,0.19605517
13,0.071289063,349.3851830249424,0.19669533
14,0.076171875,352.5770133304656,0.19759297
15,0.081054688,348.3718203175816,0.19775033
16,0.0859375,361.574182060376,0.19851208
17,0.09082031300000001,356.0848008162368,0.19787908
18,0.095703125,348.966298445092,0.19790769
19,0.10058594,357.5602225422976,0.19782186
20,0.10546875,359.3248898778984,0.1983726
21,0.11035156,355.54224677946326,0.19714952
22,0.11523438,364.68188315077845,0.1985836
23,0.12011719,358.7082507103768,0.19893408
24,0.125,368.6406313423576,0.20045757
25,0.12988281,361.86428172846325,0.19937038
26,0.13476563,369.1357406475456,0.20008922
27,0.13964844,364.9967193791832,0.20089029999999997
28,0.14453125,370.47653249866084,0.20092607
29,0.14941406,370.65334485903924,0.20115495
30,0.15429688,373.4391503933576,0.20111561
31,0.15917969,371.0457936579208,0.20103693
32,0.1640625,367.45177294821195,0.20213127
33,0.16894531,369.7300808801864,0.20234585
34,0.17382813,372.5957097511168,0.20111918
35,0.17871094,376.64167422360725,0.20131229999999997
36,0.18359375,371.11608000742245,0.20236015
37,0.18847656,364.5132866556952,0.20286798
38,0.19335938,380.68492083269996,0.20198822
39,0.19824219,366.9620593358248,0.20080447
40,0.203125,377.27602620954,0.20325065
41,0.20800781,367.60720715558085,0.20117283
42,0.21289063,372.34484339754164,0.20141959
43,0.21777344,371.9625409921296,0.20170927
44,0.22265625,372.83364512450083,0.20382643
45,0.22753906,363.8403107616096,0.20318985
46,0.23242188,376.67140168856,0.20146251
47,0.23730469,364.6201195938624,0.20071864
48,0.2421875,378.5790126252768,0.20289302
49,0.24707031,387.5379711316432,0.20372629
50,0.25195313,386.13178152656485,0.20379424
51,0.25683594,386.90928173180725,0.20292163
52,0.26171875,380.4227559962608,0.20257831
53,0.26660156,384.12832920725435,0.20410895
54,0.27148438,392.828988381752,0.20599723
55,0.27636719,393.47243698085686,0.20594716
56,0.28125,387.46901035217843,0.20576835
57,0.28613281,390.50934312644887,0.20575762
58,0.29101563,393.1803400612712,0.20684123
59,0.29589844,384.4189003868312,0.20589709
60,0.30078125,380.27906509391596,0.20629048
61,0.30566406,389.60583369972164,0.20559669
62,0.31054688,392.87181585931677,0.20657301
63,0.31542969,377.8388774814744,0.20526767
64,0.3203125,393.63055346585037,0.20549655
65,0.32519531,377.0729471006136,0.20605445
66,0.33007813,395.52543804056967,0.20607948
67,0.33496094,382.2734875233784,0.20445585
68,0.33984375,391.76033872812485,0.20643711
69,0.34472656,390.6463483517289,0.20531774
70,0.34960938,397.4398013776752,0.20672679
71,0.35449219,384.9523933962056,0.20439863
72,0.359375,389.43808236674244,0.20670533
73,0.36425781,396.25742849062243,0.20678759
74,0.36914063,401.31234748286806,0.20694852
75,0.37402344,395.62949084023677,0.20607591
76,0.37890625,400.08402446668725,0.20755291
77,0.38378906,406.095631374888,0.20853281
78,0.38867188,406.6313662879489,0.20976663
79,0.39355469,398.319761919252,0.20814657
80,0.3984375,398.9881917308624,0.20791411
81,0.40332031,398.9328024754992,0.20926237
82,0.40820313,397.3246547133376,0.20972729
83,0.41308594,398.9018206120552,0.2084291
84,0.41796875,401.8310457072008,0.20913005
85,0.42285156,402.1139792902904,0.20892978
86,0.42773438,408.939401684876,0.21066427
87,0.43261719,410.13470555212,0.20943403
88,0.4375,414.2266201537384,0.20911217
89,0.44238281,404.22589259687356,0.21145105
90,0.44726563,424.22476774207524,0.21018147
91,0.45214844,414.8938622901816,0.21147609
92,0.45703125,413.4581453901224,0.21129012
93,0.46191406,412.39865907299117,0.21160483
94,0.46679688,409.7285428860456,0.21090031
95,0.47167969,404.8880415195848,0.21016359
96,0.4765625,414.2818003426864,0.21181941
97,0.48144531,415.4599696603272,0.21087527
98,0.48632813,403.56197773018727,0.21189451
99,0.49121094,412.9739297796328,0.21167994
100,0.49609375,406.71800874827363,0.21128654
101,0.50097656,407.8885360212056,0.21199822
102,0.50585938,418.6299769906808,0.21160841
103,0.51074219,410.4277899769008,0.21209836
104,0.515625,409.72318277901763,0.21129012
105,0.52050781,424.3790809976008,0.21212339
106,0.52539063,413.45831442254325,0.21174431
107,0.53027344,419.72458646556566,0.21176219
108,0.53515625,423.0941143275656,0.21426916
109,0.54003906,417.8458578316976,0.21358252
110,0.54492188,432.5911475115544,0.21430135
111,0.54980469,425.435409077396,0.21343231
112,0.5546875,420.83426651523115,0.21422625
113,0.55957031,427.42888403565763,0.21340728
114,0.56445313,437.7542872871064,0.21362543
115,0.56933594,418.9337504919664,0.21485567
116,0.57421875,433.892367983316,0.21419048
117,0.57910156,438.0580252026192,0.21352887
118,0.58398438,438.4955478309736,0.21624684
119,0.58886719,434.07865060748077,0.21437645
120,0.59375,431.737760645816,0.21587849
121,0.59863281,443.6729752943048,0.21610379
122,0.60351563,432.8957661749441,0.21588564
123,0.60839844,429.4366110959256,0.21586418
124,0.61328125,426.66465287544804,0.21592139999999999
125,0.61816406,430.5128627602672,0.21424413
126,0.62304688,425.011804934428,0.2152276
127,0.62792969,431.19303142868,0.2157712
128,0.6328125,422.6803540989984,0.21637559
129,0.63769531,434.94621840368,0.21481276
130,0.64257813,427.81485177566805,0.21607161
131,0.64746094,424.37168360508,0.21654725
132,0.65234375,435.3695512051304,0.21643281
133,0.65722656,436.7861274076448,0.21624327
134,0.66210938,436.6454924335392,0.2153635
135,0.66699219,436.2815834244432,0.21632910000000002
136,0.671875,448.22896395900807,0.21828175
137,0.67675781,447.680542717944,0.21787763
138,0.68164063,451.308868112632,0.21901488
139,0.68652344,453.522836967384,0.21812081
140,0.69140625,447.869903511456,0.21993756
141,0.69628906,448.315704280208,0.22111416
142,0.70117188,454.845293249064,0.21811008
143,0.70605469,449.806036445072,0.21950126
144,0.7109375,441.2477559475472,0.21881819
145,0.71582031,446.570800393176,0.21899343
146,0.72070313,447.54380438596,0.21809936
147,0.72558594,450.44884894848803,0.21787763
148,0.73046875,444.2880887218176,0.21922588
149,0.73535156,447.53908927106403,0.21951199
150,0.74023438,457.077766705672,0.22023439
151,0.74511719,448.96323189852,0.22033453
152,0.75,456.54068842968803,0.2205348
153,0.75488281,456.143907062968,0.22014856
154,0.75976563,458.64861168149605,0.22014141
155,0.76464844,456.45821840122403,0.21983027
156,0.76953125,462.41283024606406,0.22052407
157,0.77441406,463.2522541442,0.22062421
158,0.77929688,455.87843719788003,0.22037029
159,0.78417969,459.70337398728805,0.22025585
160,0.7890625,468.134488725712,0.22204399
161,0.79394531,453.258612604344,0.22259831
162,0.79882813,460.354371218448,0.22141457
