,Time [s],Load [N],Displacement [mm]
0,0.0078125,-236.3730289596536,0.0002919574
1,0.012695313,-242.6652830650416,-0.00050546456
2,0.017578125,-242.02510835703438,0.00055223383
3,0.022460938,-251.20057960155918,-2.6381167e-05
4,0.02734375,-241.95734859740162,-0.0014568027
5,0.032226563,-245.0064932986616,-1.7845596e-05
6,0.037109375,-243.847349024804,-0.00055050856
7,0.041992188,-230.7269946954272,-0.00010609218999999999
8,0.046875,-239.0992905996344,0.0006600382000000001
9,0.051757813,-231.23980347436162,0.00039971026
10,0.056640625,-238.05594243046804,0.0031497751
11,0.061523438,-239.60886107324401,0.0018650738000000001
12,0.06640625,-242.79636325915038,0.0029823894
13,0.071289063,-235.538938479216,0.0030666948
14,0.076171875,-234.8619903232416,0.0028874547999999996
15,0.081054688,-239.34854224876884,0.0022373035999999997
16,0.0859375,-242.75920281590402,0.0010218807
17,0.09082031300000001,-232.30346222335362,0.0019072103
18,0.095703125,-226.62455560150323,0.0032368116
19,0.10058594,-218.79896837304403,0.0036437775
20,0.10546875,-215.0751885910416,0.0047536846
21,0.11035156,-237.9920392789624,0.004038377199999999
22,0.11523438,-229.71912554174241,0.0039922828
23,0.12011719,-227.4208628876704,0.0043202774
24,0.125,-232.68042231462402,0.0031778938
25,0.12988281,-232.9075796470712,0.0032200896999999996
26,0.13476563,-237.181599992772,0.0028547714
27,0.13964844,-236.29200460320965,0.0031896109999999997
28,0.14453125,-232.98056161886242,0.0041725584
29,0.14941406,-234.98134945343438,0.0052859336
30,0.15429688,-239.176160317104,0.0058874348
31,0.15917969,-230.39298218370482,0.0063712141000000005
32,0.1640625,-234.1184611863584,0.0050074169
33,0.16894531,-227.8049801674952,0.0051808874
34,0.17382813,-215.654431559572,0.0062002805000000005
35,0.17871094,-217.46415048353762,0.0062097590000000005
36,0.18359375,-228.4821640792144,0.0046987482
37,0.18847656,-227.7179462636696,0.0055134743000000005
38,0.19335938,-232.1277841594832,0.0056493627000000005
39,0.19824219,-230.1266938458424,0.0063542053000000005
40,0.203125,-229.2800104500552,0.006280416600000001
41,0.20800781,-225.7634332784024,0.0060600252
42,0.21289063,-219.418917017436,0.0060538434999999995
43,0.21777344,-208.82427180898242,0.0055728722
44,0.22265625,-207.9566328412376,0.007086955
45,0.22753906,-213.4871645833984,0.007762063299999999
46,0.23242188,-204.25324815527122,0.009071213199999999
47,0.23730469,-207.5909578881664,0.009139501500000001
48,0.2421875,-202.86357034877201,0.007795656999999999
49,0.24707031,-211.350154410548,0.007757065400000001
50,0.25195313,-210.0798846646792,0.0076948856000000005
51,0.25683594,-205.5500604394272,0.0085924985
52,0.26171875,-219.1959321168496,0.0095613329
53,0.26660156,-217.0814922203976,0.009238148100000001
54,0.27148438,-209.7791492987464,0.0081739286
55,0.27636719,-211.35692460382322,0.0094361389
56,0.28125,-210.1235261667968,0.0085503897
57,0.28613281,-209.7639452773176,0.0089022694
58,0.29101563,-208.8265982288792,0.0087549714
